phase,start_time_s,end_time_s,duration_s
Labral Mobilization,0.26693333333333336,2.4024,2.135466666666667
Glenoid Preparation,2.9362666666666666,6.139466666666667,3.2032000000000007
Anchor Placement,6.673333333333334,25.892533333333336,19.2192
Portal Placement,26.426400000000005,52.585866666666675,26.15946666666667
Labral Mobilization,53.119733333333336,60.06000000000001,6.940266666666673
Portal Placement,60.59386666666667,153.48666666666668,92.89280000000001
Labral Mobilization,154.02053333333333,250.65040000000002,96.62986666666669
Glenoid Preparation,251.18426666666667,265.5986666666667,14.414400000000029
Labral Mobilization,266.13253333333336,291.7581333333334,25.62560000000002
Glenoid Preparation,292.29200000000003,308.8418666666667,16.549866666666674
Suture Passage,309.37573333333336,482.8824,173.50666666666666
Suture Tensioning,483.41626666666673,484.48400000000004,1.067733333333308
Suture Passage,485.0178666666667,487.6872,2.669333333333327
Labral Mobilization,488.22106666666673,495.69520000000006,7.474133333333327
Glenoid Preparation,496.2290666666667,497.83066666666673,1.601600000000019
Anchor Placement,498.3645333333334,507.44026666666673,9.075733333333346
Glenoid Preparation,507.9741333333334,519.1853333333333,11.211199999999963
Diagnostic Arthroscopy,519.7192,527.1933333333334,7.474133333333384
Suture Passage,527.7272,565.6317333333334,37.90453333333335
Anchor Placement,566.1656,578.4445333333334,12.278933333333384
Suture Passage,578.9784000000001,627.5602666666667,48.581866666666656
Suture Tensioning,628.0941333333334,652.652,24.557866666666655
Anchor Placement,653.1858666666667,721.5208,68.33493333333331
Suture Passage,722.0546666666668,937.2029333333334,215.1482666666666
Suture Tensioning,937.7368,1149.6818666666668,211.94506666666678
Suture Passage,1150.2157333333334,1158.7576000000001,8.541866666666692
Suture Tensioning,1159.2914666666668,1166.7656000000002,7.474133333333384
Suture Passage,1167.2994666666668,1186.5186666666668,19.2192
Suture Tensioning,1187.0525333333335,1200.3992,13.346666666666579
Suture Passage,1200.9330666666667,1205.7378666666668,4.804800000000114
Anchor Placement,1206.2717333333335,1214.8136000000002,8.541866666666692
Final Inspection,1215.3474666666668,1220.1522666666667,4.8047999999998865
Anchor Placement,1220.6861333333334,1301.8338666666668,81.14773333333346
Suture Passage,1302.3677333333335,1519.1176,216.74986666666655
Suture Tensioning,1519.6514666666667,1622.1538666666668,102.50240000000008
Anchor Placement,1622.6877333333334,1749.2141333333334,126.52639999999997
Suture Passage,1749.748,1781.7800000000002,32.03200000000015
Anchor Placement,1782.3138666666669,1784.9832000000001,2.6693333333332703
Suture Passage,1785.5170666666668,1923.7885333333336,138.2714666666668
Suture Tensioning,1924.3224000000002,1932.3304,8.00799999999981
Suture Passage,1932.864266666667,1940.3384,7.474133333333157
Suture Tensioning,1940.8722666666667,2035.9005333333334,95.0282666666667
Anchor Placement,2036.4344,2173.6381333333334,137.20373333333328
Suture Passage,2174.172,2285.216266666667,111.04426666666677
Suture Tensioning,2285.7501333333335,2360.491466666667,74.74133333333339
Anchor Placement,2361.0253333333335,2372.7704000000003,11.745066666666844
Suture Passage,2373.304266666667,2380.2445333333335,6.940266666666503
Suture Tensioning,2380.7784,2441.6392,60.86079999999993
Anchor Placement,2442.1730666666667,2444.3085333333333,2.135466666666616
Suture Tensioning,2444.8424,2458.7229333333335,13.88053333333346
Anchor Placement,2459.2568,2512.1096000000002,52.852800000000116
Suture Tensioning,2512.643466666667,2530.7949333333336,18.151466666666693
Anchor Placement,2531.3288000000002,2799.329866666667,268.0010666666667
Final Inspection,2799.8637333333336,2823.8877333333335,24.023999999999887
